Date,Nation,Metric,Admissions
02/08/2020,Scotland,NewAdmissions,0
02/08/2020,England,NewAdmissions,57
03/08/2020,Scotland,NewAdmissions,3
03/08/2020,England,NewAdmissions,74
03/08/2020,Northern Ireland,NewAdmissions,2
03/08/2020,Wales,NewAdmissions,29
04/08/2020,Wales,NewAdmissions,65
04/08/2020,Northern Ireland,NewAdmissions,0
04/08/2020,Scotland,NewAdmissions,1
04/08/2020,England,NewAdmissions,58
05/08/2020,England,NewAdmissions,60
05/08/2020,Scotland,NewAdmissions,3
05/08/2020,Northern Ireland,NewAdmissions,2
05/08/2020,Wales,NewAdmissions,74
06/08/2020,Northern Ireland,NewAdmissions,1
06/08/2020,Wales,NewAdmissions,45
06/08/2020,Scotland,NewAdmissions,0
06/08/2020,England,NewAdmissions,52
07/08/2020,Scotland,NewAdmissions,4
07/08/2020,England,NewAdmissions,60
07/08/2020,Wales,NewAdmissions,53
07/08/2020,Northern Ireland,NewAdmissions,1
08/08/2020,Wales,NewAdmissions,55
08/08/2020,Northern Ireland,NewAdmissions,3
08/08/2020,England,NewAdmissions,78
08/08/2020,Scotland,NewAdmissions,2
09/08/2020,England,NewAdmissions,53
09/08/2020,Scotland,NewAdmissions,0
09/08/2020,Wales,NewAdmissions,51
09/08/2020,Northern Ireland,NewAdmissions,1
10/08/2020,Wales,NewAdmissions,31
10/08/2020,Northern Ireland,NewAdmissions,1
10/08/2020,Scotland,NewAdmissions,5
10/08/2020,England,NewAdmissions,50
11/08/2020,Scotland,NewAdmissions,2
11/08/2020,England,NewAdmissions,63
11/08/2020,Northern Ireland,NewAdmissions,1
11/08/2020,Wales,NewAdmissions,47
12/08/2020,Wales,NewAdmissions,45
12/08/2020,Northern Ireland,NewAdmissions,0
12/08/2020,Scotland,NewAdmissions,2
12/08/2020,England,NewAdmissions,51
13/08/2020,Scotland,NewAdmissions,2
13/08/2020,England,NewAdmissions,60
13/08/2020,Northern Ireland,NewAdmissions,2
13/08/2020,Wales,NewAdmissions,63
14/08/2020,Northern Ireland,NewAdmissions,2
14/08/2020,Wales,NewAdmissions,39
14/08/2020,England,NewAdmissions,55
14/08/2020,Scotland,NewAdmissions,4
15/08/2020,England,NewAdmissions,38
15/08/2020,Scotland,NewAdmissions,7
15/08/2020,Wales,NewAdmissions,52
15/08/2020,Northern Ireland,NewAdmissions,2
