Date,Nation,Metric,Deaths
08/05/2020,Scotland,CumDeathsByDate,
08/05/2020,Wales,CumDeathsByDate,1123
08/05/2020,England,CumDeathsByDate,29352
09/05/2020,Wales,CumDeathsByDate,1130
09/05/2020,England,CumDeathsByDate,29726
09/05/2020,Northern Ireland,CumDeathsByDate,
09/05/2020,Scotland,CumDeathsByDate,
10/05/2020,Scotland,CumDeathsByDate,
10/05/2020,Wales,CumDeathsByDate,1140
10/05/2020,England,CumDeathsByDate,30078
10/05/2020,Northern Ireland,CumDeathsByDate,
11/05/2020,Northern Ireland,CumDeathsByDate,
11/05/2020,Scotland,CumDeathsByDate,
11/05/2020,England,CumDeathsByDate,30393
11/05/2020,Wales,CumDeathsByDate,1155
12/05/2020,Wales,CumDeathsByDate,1166
12/05/2020,England,CumDeathsByDate,30716
12/05/2020,Northern Ireland,CumDeathsByDate,
12/05/2020,Scotland,CumDeathsByDate,
13/05/2020,Scotland,CumDeathsByDate,
13/05/2020,England,CumDeathsByDate,31028
13/05/2020,Wales,CumDeathsByDate,1182
13/05/2020,Northern Ireland,CumDeathsByDate,
14/05/2020,Northern Ireland,CumDeathsByDate,
14/05/2020,Scotland,CumDeathsByDate,
14/05/2020,Wales,CumDeathsByDate,1194
14/05/2020,England,CumDeathsByDate,31361
15/05/2020,Wales,CumDeathsByDate,1210
15/05/2020,England,CumDeathsByDate,31678
15/05/2020,Northern Ireland,CumDeathsByDate,
15/05/2020,Scotland,CumDeathsByDate,
16/05/2020,Scotland,CumDeathsByDate,
16/05/2020,Wales,CumDeathsByDate,1223
16/05/2020,England,CumDeathsByDate,31995
16/05/2020,Northern Ireland,CumDeathsByDate,
17/05/2020,Northern Ireland,CumDeathsByDate,
17/05/2020,Scotland,CumDeathsByDate,
17/05/2020,Wales,CumDeathsByDate,1234
17/05/2020,England,CumDeathsByDate,32273
18/05/2020,Wales,CumDeathsByDate,1244
18/05/2020,England,CumDeathsByDate,32588
18/05/2020,Northern Ireland,CumDeathsByDate,
18/05/2020,Scotland,CumDeathsByDate,
19/05/2020,Scotland,CumDeathsByDate,
19/05/2020,England,CumDeathsByDate,32860
19/05/2020,Wales,CumDeathsByDate,1255
19/05/2020,Northern Ireland,CumDeathsByDate,
20/05/2020,Northern Ireland,CumDeathsByDate,
20/05/2020,Scotland,CumDeathsByDate,
20/05/2020,England,CumDeathsByDate,33151
20/05/2020,Wales,CumDeathsByDate,1262
21/05/2020,Wales,CumDeathsByDate,1271
21/05/2020,England,CumDeathsByDate,33408
21/05/2020,Northern Ireland,CumDeathsByDate,
21/05/2020,Scotland,CumDeathsByDate,
22/05/2020,Scotland,CumDeathsByDate,
22/05/2020,Wales,CumDeathsByDate,1281
22/05/2020,England,CumDeathsByDate,33655
22/05/2020,Northern Ireland,CumDeathsByDate,
23/05/2020,Northern Ireland,CumDeathsByDate,
23/05/2020,Scotland,CumDeathsByDate,
23/05/2020,Wales,CumDeathsByDate,1288
23/05/2020,England,CumDeathsByDate,33909
24/05/2020,Wales,CumDeathsByDate,1300
24/05/2020,England,CumDeathsByDate,34115
24/05/2020,Northern Ireland,CumDeathsByDate,
